OG	dmel	dsec	dsim	dyak	dere	dana	dpse	dper	dwil	dmoj	dvir	dgri	agam	bmor	tcas	amel	phum	apis	
OG_74	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0	0	
OG_75	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	
OG_76	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG_77	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	
OG_78	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	
OG_79	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	
OG_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	
OG_81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
OG_82	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG_83	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	
OG_84	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	
OG_85	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	
